HALF ORBIT,CRID,TYPE,DATA STREAM,DESCRIPTION,DATES AFFECTED
12601A,,Mssing,Radar,L0A_Radar not received,11-Jun-17
11759A/D,,Missing,Radar,L0A_Radar not received,14-Apr-17
11385A,,Missing,Radar,L0A_Radar not received,20-Mar-17
13322A-13322D,,Missing,Radar,"L0A_Radar not received, FSW NOR zone 1 burn activity",15-Mar-17
13322A-13322D,,Missing,Radiometer,"L0A_Radiometer not received, FSW NOR zone 1 burn activity",15-Mar-17
11172A,R14010,Bad,Radiometer,L1B_TB ant scan angle error,5-Mar-17
10296D,R14010,Bad,Radiometer,L1B_TB ant scan angle error,4-Jan-17
10230A,,Missing,Radar,L0A_Radar not received,31-Dec-16
10208D,,Missing,Radiometer,L0A_Radiometer not received,29-Dec-16
10190D,,Missing,Radar,L0A_Radar not received,28-Dec-16
10191D,,Missing,Radiometer,L0A_Radiometer not received,28-Dec-16
9963A,,Missing,Radar,L0A_Radar not received,12-Dec-16
9909A,R14010,Bad,Radiometer,L1B_TB ant scan angle error,9-Dec-16
9753D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",28-Nov-16
9715D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",25-Nov-16
9609D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",18-Nov-16
9523A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",12-Nov-16
9434A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",6-Nov-16
9392D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",3-Nov-16
9262D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",25-Oct-16
9167D,,Missing,Radiometer,L0A_Radiometer not received,19-Oct-16
9126D,,Missing,Radar,L0A_Radar not received,16-Oct-16
9126D,,Missing,Radiometer,L0A_Radiometer not received,16-Oct-16
9127A,,Missing,Radiometer,L0A_Radiometer not received,16-Oct-16
9098D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",14-Oct-16
9070D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,12-Oct-16
8930D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",3-Oct-16
8894D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",30-Sep-16
8855A-8864A,,Missing,Radar,"L0A_Radar notæreceived_FSW upgrade - September 26-28, 2015",28-Sep-16
8855A-8864A,,Missing,Radiometer,"L0A_Radiometer not received _ FSW upgrade - September 26-28, 2015",28-Sep-16
8840A-8854D,,Missing,Radar,"L0A_Radar notæreceived_FSW upgrade - September 26-28, 2015",27-Sep-16
8840A-8854D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW upgrade - September 26-28, 2015",27-Sep-16
8836A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",26-Sep-16
8839D,,Missing,Radar,"L0A_Radar notæreceived_FSW upgrade - September 26-28, 2015",26-Sep-16
8839D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW upgrade - September 26-28, 2015",26-Sep-16
8755D,R13080,Bad,Radiometer,L1B_TB ant scan angle error,21-Sep-16
8637D,,Missing,Radiometer,L0A_Radiometer not received,13-Sep-16
8619A,R13080,Bad,Radiometer,bad L0A_Radiometer data due to gap in S-band data,11-Sep-16
8619D,R13080,Bad,Radiometer,bad L0A_Radiometer data due to gap in S-band data,11-Sep-16
8601D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,10-Sep-16
8530D-8542D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - September 5-6, 2016",5-Sep-16
8530D-8542D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - September 5-6, 2016",5-Sep-16
8460A,R13080,Bad,Radiometer,L1B_TB ant scan angle error,1-Sep-16
8460D,R13080,Bad,Radiometer,L1B_TB ant scan angle error,1-Sep-16
8322D,,Missing,Radiometer,L0A_Radiometer not received,22-Aug-16
8192D,,Missing,Radar,L0A_Radar not received,13-Aug-16
8192D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",13-Aug-16
8194A,,Missing,Radiometer,L0A_Radiometer not received,13-Aug-16
8169D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",12-Aug-16
7986A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",30-Jul-16
7956D,,Missing,Radiometer,L0A_Radiometer not received,28-Jul-16
7927A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",26-Jul-16
7910A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",25-Jul-16
7752A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",14-Jul-16
7648A,R13080,Bad,Radiometer,L1B_TB processing failure,7-Jul-16
7650A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",7-Jul-16
7566A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",1-Jul-16
7507D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",27-Jun-16
7489A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",26-Jun-16
7448D,R13080,Bad,Radiometer,L1B_TB ant scan angle error,23-Jun-16
7431A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",22-Jun-16
7396A,,Missing,Radar,L0A_Radar not received,20-Jun-16
7356D,,Missing,Radiometer,L0A_Radiometer not received,17-Jun-16
7299A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",13-Jun-16
7272D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",11-Jun-16
7186A,R13080,Bad,Radiometer,L1B_TB processing failure,5-Jun-16
7138A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",2-Jun-16
7116A,,Missing,Radar,L0A_Radar not received,1-Jun-16
7022D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,25-May-16
7023A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",25-May-16
6992A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",23-May-16
6977A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",22-May-16
6852D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",14-May-16
6809D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",11-May-16
6747D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",6-May-16
6692D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",3-May-16
6676A-6686D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - April 30 - May 02, 2016",2-May-16
6676A-6686D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - April 30 - May 02, 2016",2-May-16
6661A-6675D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - April 30 - May 02, 2016",1-May-16
6661A-6675D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - April 30 - May 02, 2016",1-May-16
6649A-6660D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - April 30 - May 02, 2016",30-Apr-16
6649A-6660D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - April 30 - May 02, 2016",30-Apr-16
6589A,,Missing,Radar,L0A_Radar not received,26-Apr-16
6587A,,Missing,Radiometer,L0A_Radiometer not received,25-Apr-16
6587D,,Missing,Radar,L0A_Radar not received,25-Apr-16
6522D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",21-Apr-16
6513A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",20-Apr-16
6393D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,12-Apr-16
6397A,R13080,Bad,Radiometer,no scan for Radiometer L1B_TB,12-Apr-16
6286D,,Missing,Radiometer,L0A_Radiometer not received,5-Apr-16
6287A,,Missing,Radiometer,L0A_Radiometer not received,5-Apr-16
5974D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",15-Mar-16
5963A,R13080,Bad,Radiometer,L1B_TB ant scan angle error,14-Mar-16
5953D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",13-Mar-16
5914D,R13080,Bad,Radiometer,"no Radiometer L1B_TB product, failed SPS processing",10-Mar-16
5852D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,6-Mar-16
5810A,,Missing,Radar,L0A_Radar not received,3-Mar-16
5764A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",29-Feb-16
5587A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",17-Feb-16
5577A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",16-Feb-16
5518D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",12-Feb-16
5116D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,16-Jan-16
4990D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",7-Jan-16
4900D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",1-Jan-16
4875A,R13080,Bad,Radiometer,"no Radiometer L1B_TB product, failed SPS processing",30-Dec-15
